0,"1.04,59","1.05,56","1.06,50","1.07,43","1.08,90",1.0958,"1.1,21","1.11,15","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,56","1.06,50","1.07,43","1.08,99",1.096,"1.1,21","1.11,15","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,56","1.06,50","1.07,35","1.08,99",1.09567,"1.1,21","1.11,15","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,56","1.06,50","1.07,35","1.08,99",1.09556,"1.1,21","1.11,16","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,56","1.06,50","1.07,35","1.08,99",1.09556,"1.1,21","1.11,16","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,56","1.06,50","1.07,35","1.08,99",1.09556,"1.1,21","1.11,16","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09556,"1.1,21","1.11,16","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09047,"1.09,1","1.1,21","1.11,16","1.12,69","1.13,21"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09046,"1.09,1","1.1,22","1.11,15","1.12,69","1.13,21"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09558,"1.1,22","1.11,15","1.12,69","1.13,21","1.14,6"
,price,lots,type,time
0,1.09,1,BUY,11:30:24
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,98",1.09555,"1.1,22","1.11,15","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09558,"1.1,22","1.11,15","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09558,"1.1,22","1.11,15","1.12,69","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09487,"1.1,22","1.11,25","1.12,59","1.13,21","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09421,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,50","1.07,35","1.08,99",1.09421,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,35","1.08,99",1.09435,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,35","1.08,104",1.09445,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,104",1.09472,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,109",1.09481,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,116",1.09493,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,89",1.09439,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,27,SELL,11:39:32
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,84",1.09426,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,5,SELL,11:40:11
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,89",1.09439,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,93",1.09448,"1.1,22","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,93",1.09401,"1.1,27","1.11,35","1.12,59","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,91",1.09396,"1.1,27","1.11,35","1.12,59","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,2,SELL,11:49:47
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,43",1.09176,"1.1,27","1.11,35","1.12,59","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,48,SELL,11:50:22
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,32",1.09075,"1.1,27","1.11,35","1.12,59","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,11,SELL,11:50:47
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,32",1.09113,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,32",1.09113,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,17",1.08894,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,15,SELL,11:50:59
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,40","1.08,12",1.08848,"1.1,22","1.11,35","1.12,46","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,5,SELL,11:51:04
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,175","1.04,59","1.05,61","1.06,55","1.07,40",1.08965,"1.1,22","1.11,35","1.12,46","1.13,11","1.14,6"
,price,lots,type,time
0,1.08,10,SELL,11:51:12
1,1.08,2,SELL,11:51:12
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,175","1.04,59","1.05,61","1.06,55","1.07,40",1.08864,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,40",1.08864,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,68","1.05,61","1.06,55","1.07,40",1.08864,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,68","1.05,61","1.06,55","1.07,40",1.08864,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,68","1.05,61","1.06,55","1.07,45",1.08923,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,68","1.05,61","1.06,55","1.07,45","1.08,3",1.08517,"1.1,27","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,68","1.05,61","1.06,55","1.07,45","1.08,3",1.08545,"1.1,22","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,68","1.05,61","1.06,55","1.07,45","1.08,3",1.08587,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.04,59","1.05,61","1.06,55","1.07,45","1.08,3",1.08587,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,45",1.09134,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,6"
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
0,"1.03,170","1.04,59","1.05,61","1.06,55","1.07,44",1.09125,"1.1,17","1.11,35","1.12,46","1.13,11","1.14,6"
,price,lots,type,time
0,1.07,1,SELL,13:00:00
,Bid5,Bid4,Bid3,Bid2,Bid1,core,Ask1,Ask2,Ask3,Ask4,Ask5
