,time,open,close,repv,dif,dea,macd,bmid,bup,blow,borate
0,2019-09-16 10:15:00,3966.03,3967.62,3966.825,0.0,0.0,0.0,,,,
1,2019-09-16 10:20:00,3967.68,3967.17,3967.425,-0.010096153846461675,-0.005608974359145375,-0.0089743589746326,,,,
2,2019-09-16 10:25:00,3967.35,3966.42,3966.885,-0.03612195907635396,-0.018114295964558727,-0.036015326223590466,,,,
3,2019-09-16 10:30:00,3967.32,3969.66,3968.49,0.0699052179611499,0.011702612546860182,0.11640521082857944,,,,
4,2019-09-16 10:35:00,3969.19,3967.07,3968.13,0.022985058553331328,0.015058885157066972,0.015852346792528713,,,,
5,2019-09-16 10:40:00,3967.29,3963.1,3965.1949999999997,-0.17541188757377313,-0.03656928422309395,-0.2776852067013584,,,,
6,2019-09-16 10:45:00,3963.23,3960.53,3961.88,-0.4160497039647453,-0.13260565484331877,-0.566888098242853,,,,
7,2019-09-16 10:50:00,3960.54,3956.0,3958.27,-0.7861611537077806,-0.28966733133432915,-0.9929876447469029,,,,
8,2019-09-16 10:55:00,3955.46,3959.37,3957.415,-0.8632966289069373,-0.42217854486322154,-0.8822361680874314,,,,
9,2019-09-16 11:00:00,3958.82,3958.22,3958.52,-0.9646902250819949,-0.543732653992044,-0.8419151421799018,,,,
10,2019-09-16 11:05:00,3957.69,3962.79,3960.24,-0.780960496888838,-0.5956367505131329,-0.37064749275141007,,,,
11,2019-09-16 11:10:00,3962.75,3965.76,3964.255,-0.4724892993544927,-0.5691898426089437,0.19340108650890198,,,,
12,2019-09-16 11:15:00,3965.37,3963.87,3964.62,-0.3442135808832063,-0.5215770492683525,0.3547269367702923,,,,
13,2019-09-16 11:20:00,3964.07,3963.79,3963.9300000000003,-0.24836337436772737,-0.4644205446301165,0.43211434052477826,,,,
14,2019-09-16 11:25:00,3964.14,3964.21,3964.175,-0.1479855578563729,-0.39882563144264516,0.5016801471725445,,,,
15,2019-09-16 11:30:00,3964.63,3965.4,3965.0150000000003,0.0022136339434837282,-0.3162947402991674,0.6370167484853022,,,,
16,2019-09-16 13:05:00,3966.05,3962.69,3964.37,-0.050973150066056405,-0.2620079933867148,0.42206968664131683,,,,
17,2019-09-16 13:10:00,3962.39,3960.08,3961.2349999999997,-0.2556400119560749,-0.26071103314188554,0.010142042371621307,,,,
18,2019-09-16 13:15:00,3960.25,3958.85,3959.55,-0.4887220710375004,-0.3069800474915167,-0.36348404709196747,,,,
19,2019-09-16 13:20:00,3958.9,3958.21,3958.5550000000003,-0.7041898745360413,-0.38734859921619647,-0.6336825506396897,3963.0405000000005,3970.5450178673295,3955.5359821326715,0.3794
20,2019-09-16 13:25:00,3958.33,3957.16,3957.745,-0.9316933954851265,-0.4972310451491415,-0.86892470067197,3962.517500000001,3970.1353098109503,3954.8996901890514,0.3852
