,time,open,close,high,low,dif,dea,macd,bmid,bup,blow
2459,2009-02-26,2169.29,2105.52,2213.19,2084.59,0.0,0.0,0.0,,,
2460,2009-02-27,2090.52,2078.83,2118.66,2061.23,-0.5988141025641198,-0.332674501424511,-0.5322792022792177,,,
2461,2009-03-02,2070.73,2088.82,2102.5,2044.14,-0.4532187211530072,-0.38207787016569794,-0.14228170197461854,,,
2462,2009-03-03,2042.79,2068.85,2088.8,2033.63,-1.0969010911117039,-0.6242266577490332,-0.9453488667253414,,,
2463,2009-03-04,2072.26,2194.33,2202.7,2072.26,3.5695620488145323,0.6233306680968631,5.892462761435338,,,
2464,2009-03-05,2217.42,2222.47,2247.84,2175.66,7.510926220359124,2.4902520056646975,10.041348429388854,,,
2465,2009-03-06,2179.15,2195.2,2225.17,2173.04,8.67381141677106,4.055145930261593,9.237330973018933,,,
2466,2009-03-09,2209.24,2119.11,2240.26,2117.33,5.695272445486353,4.4492991744560575,2.4919465420605906,,,
2467,2009-03-10,2095.79,2148.78,2150.04,2085.69,5.018070915396947,4.58068826830456,0.8747652941847743,,,
2468,2009-03-11,2192.66,2138.26,2201.59,2130.38,3.9227967838382938,4.433282385235856,-1.020971202795124,,,
2469,2009-03-12,2126.66,2130.69,2135.1,2081.99,2.6730242363614707,4.0481479602646795,-2.7502474478064176,,,
2470,2009-03-13,2144.23,2125.55,2163.88,2119.93,1.4380425199374258,3.4876067752779636,-4.0991285106810755,,,
2471,2009-03-16,2119.34,2159.72,2168.57,2101.96,2.4332711693095916,3.264472730230151,-1.6624031218411188,,,
2472,2009-03-17,2163.29,2221.89,2228.03,2159.64,6.7497451113445095,3.9935943127758815,5.512301597137256,,,
2473,2009-03-18,2232.88,2223.33,2254.82,2221.84,10.004346538373284,5.2395841271429475,9.529524822460672,,,
2474,2009-03-19,2226.49,2253.53,2256.34,2205.65,14.17979428162289,7.079412729334276,14.200763104577227,,,
2475,2009-03-20,2256.7,2253.33,2272.7,2230.02,17.17580824194647,9.145209438300329,16.061197607292282,,,
2476,2009-03-23,2259.56,2296.48,2305.32,2253.67,21.980018204420958,11.759261771988148,20.44151286486562,,,
2477,2009-03-24,2339.06,2316.19,2346.85,2298.63,26.66912459232617,14.784837477235703,23.768574230180935,,,
2478,2009-03-25,2305.42,2264.66,2326.79,2264.06,26.6024675472745,17.175930921760635,18.85307325102773,2180.2770000000005,2328.6862545135355,2031.8677454864655
2479,2009-03-26,2272.72,2338.13,2338.57,2254.66,31.09284685123157,19.98522527463239,22.215243153198358,2191.9075000000003,2351.6729843002217,2032.1420156997788
2480,2009-03-27,2357.2,2366.38,2386.46,2345.87,36.093768607860966,23.230882665776257,25.72577188416942,2206.2850000000003,2374.722825168127,2037.8471748318732
2481,2009-03-30,2369.72,2345.1,2370.89,2336.66,38.098602684208345,26.22208360327615,23.75303816186439,2219.099,2388.8984393270766,2049.2995606729237
2482,2009-03-31,2302.77,2354.14,2358.64,2284.59,39.827498868926796,28.95607757791649,21.742842582020614,2233.3635000000004,2397.867907910869,2068.859092089132
2483,2009-04-01,2366.34,2379.82,2395.18,2356.03,42.48855242711852,31.672836171536545,21.63143251116395,2242.638,2418.4061734678116,2066.869826532188
