,time,open,close,high,low,dif,dea,macd,bmid,bup,blow
0,2019/8/9 10:15,4198.62,4199.11,4202.87,4198.62,0,0,0,,,
1,2019/8/9 10:20,4199.46,4198.13,4200.25,4197.25,-0.021987179,-0.0122151,-0.01954416,,,
2,2019/8/9 10:25,4196.85,4197.54,4197.9,4195.79,-0.046311896,-0.026189196,-0.040245398,,,
3,2019/8/9 10:30,4197.71,4196.51,4200.06,4195.91,-0.093428024,-0.048966577,-0.088922894,,,
4,2019/8/9 10:35,4197.22,4196.95,4200.24,4196.31,-0.099554716,-0.064015405,-0.071078622,,,
5,2019/8/9 10:40,4197.26,4194.62,4197.76,4193.63,-0.200998555,-0.101145454,-0.199706201,,,
6,2019/8/9 10:45,4194.61,4192.37,4196.04,4191.74,-0.364522139,-0.167799067,-0.393446143,,,
7,2019/8/9 10:50,4193.03,4194.76,4194.81,4189.9799,-0.354640747,-0.212700636,-0.283880222,,,
8,2019/8/9 10:55,4194.59,4192.85,4194.86,4191.6,-0.437164112,-0.264552813,-0.345222599,,,
9,2019/8/9 11:00,4193.84,4188.03,4193.84,4188.03,-0.73761877,-0.370547049,-0.734143442,,,
10,2019/8/9 11:05,4189.21,4184.64,4189.67,4183.28,-1.124991763,-0.535615241,-1.178753043,,,
11,2019/8/9 11:10,4184.62,4181.04,4184.63,4179.54,-1.5914404,-0.762362206,-1.658156389,,,
12,2019/8/9 11:15,4183.17,4186.75,4187.95,4179.49,-1.593712784,-0.938304872,-1.310815824,,,
13,2019/8/9 11:20,4187.55,4185.01,4187.99,4185.01,-1.675558428,-1.092538866,-1.166039124,,,
14,2019/8/9 11:25,4185.68,4183.68,4187.49,4182.16,-1.794828147,-1.238118863,-1.113418568,,,
15,2019/8/9 11:30,4184.37,4181.55,4184.9799,4179.6899,-1.991954032,-1.393252521,-1.197403023,,,
16,2019/8/9 13:05,4181.56,4182.05,4183.31,4179.09,-2.086627737,-1.535122185,-1.103011103,,,
17,2019/8/9 13:10,4181.8,4182.5,4183.31,4178.7,-2.105144155,-1.651217975,-0.907852361,,,
18,2019/8/9 13:15,4182.09,4185.4399,4185.8,4180.24,-1.905177795,-1.702752632,-0.404850328,,,
19,2019/8/9 13:20,4185.66,4186.83,4188.72,4184.72,-1.637451241,-1.689540022,0.104177562,4189.517995,4202.164722,4176.871268
20,2019/8/9 13:25,4186.54,4186.32,4187.71,4183.51,-1.444714093,-1.640119008,0.390809831,4188.878495,4200.752881,4177.004109
21,2019/8/9 13:30,4186.51,4188.65,4189.5,4185.99,-1.121992904,-1.535723484,0.827461161,4188.404495,4199.451984,4177.357006
22,2019/8/9 13:35,4187.11,4187.02,4189.01,4184.27,-0.96914485,-1.421734888,0.905180074,4187.878495,4198.062581,4177.694409
23,2019/8/9 13:40,4187.4399,4186.56,4187.66,4183.56,-0.870615696,-1.310988062,0.880744732,4187.380995,4196.727366,4178.034624
24,2019/8/9 13:45,4186.79,4184.33,4186.79,4181.92,-0.938756436,-1.23625942,0.595005969,4186.749995,4195.018057,4178.481933
25,2019/8/9 13:50,4182.79,4184.47,4184.61,4180.59,-0.970968755,-1.183040443,0.424143376,4186.242495,4193.681006,4178.803984
26,2019/8/9 13:55,4184.83,4183.74,4184.83,4180.97,-1.036464668,-1.153654236,0.234379136,4185.810995,4192.736412,4178.885578
27,2019/8/9 14:00,4184.68,4178.61,4185.58,4176.25,-1.442272277,-1.211489714,-0.461565125,4185.003495,4191.270286,4178.736704
28,2019/8/9 14:05,4177.79,4175.74,4178.1899,4174.7299,-1.949012417,-1.359222861,-1.179579112,4184.147995,4190.57413,4177.72186
29,2019/8/9 14:10,4175.71,4176.29,4179.63,4174.85,-2.282037774,-1.544014605,-1.476046338,4183.560995,4190.608787,4176.513203
30,2019/8/9 14:15,4176.74,4175.86,4177.81,4174.31,-2.547149529,-1.744840478,-1.604618102,4183.121995,4190.938653,4175.305337
31,2019/8/9 14:20,4175.39,4170.37,4177.13,4169.1899,-3.128947906,-2.021881458,-2.214132896,4182.588495,4192.24373,4172.93326
32,2019/8/9 14:25,4169.9399,4169.4799,4171.85,4168.78,-3.613456918,-2.340398434,-2.546116967,4181.72499,4192.798108,4170.651872
33,2019/8/9 14:30,4171.25,4172.41,4173.75,4169.58,-3.732395823,-2.618939149,-2.226913349,4181.09499,4192.797045,4169.392935
34,2019/8/9 14:35,4172.6899,4171.36,4172.79,4170.04,-3.860981198,-2.867448366,-1.987065665,4180.47899,4192.884036,4168.073944
35,2019/8/9 14:40,4170.66,4172.04,4173.8,4169.24,-3.86597179,-3.06721788,-1.597507821,4180.00349,4192.952801,4167.054179
36,2019/8/9 14:45,4171.97,4166.56,4171.97,4166.56,-4.23931449,-3.301698076,-1.875232828,4179.22899,4193.453093,4165.004887
37,2019/8/9 14:50,4166.56,4169.59,4170.59,4166.56,-4.252933105,-3.491984603,-1.521897005,4178.58349,4193.344188,4163.822792
38,2019/8/9 14:55,4169.09,4172.75,4173.85,4167.21,-3.974185054,-3.58844072,-0.771488669,4177.948995,4192.558934,4163.339056
39,2019/8/9 15:00,4173.6899,4174.46,4175.34,4172.8,-3.579758747,-3.586704095,0.013890694,4177.330495,4191.394552,4163.266438
40,2019/8/12 9:35,4178.6899,4185.5,4186.74,4178.55,-2.383856526,-3.346108996,1.924504941,4177.289495,4191.247591,4163.331399
41,2019/8/12 9:40,4186.4799,4191.41,4194.17,4186.01,-0.966005746,-2.870047847,3.808084203,4177.427495,4191.903477,4162.951513
42,2019/8/12 9:45,4190.86,4185.52,4191.21,4185.1899,-0.298850408,-2.35577336,4.113845903,4177.352495,4191.633448,4163.071542
43,2019/8/12 9:50,4185.1899,4184.84,4186.97,4182.82,0.174401146,-1.849710906,4.048224103,4177.266495,4191.333092,4163.199898
44,2019/8/12 9:55,4184.7299,4187.52,4187.52,4181.18,0.75057258,-1.329631556,4.160408272,4177.425995,4191.89637,4162.95562
45,2019/8/12 10:00,4187.9399,4192.78,4192.78,4187.1,1.601506275,-0.743383562,4.689779674,4177.841495,4193.584734,4162.098256
46,2019/8/12 10:05,4192.67,4195.89,4197.09,4192.36,2.491487045,-0.096391405,5.175756901,4178.448995,4195.986087,4160.911903
47,2019/8/12 10:10,4195.52,4192.47,4197.85,4192.47,2.893450376,0.501590286,4.783720179,4179.141995,4197.767491,4160.516499
48,2019/8/12 10:15,4192.79,4198.62,4198.85,4192.75,3.655300142,1.13234351,5.045913263,4180.285995,4200.751435,4159.820555
49,2019/8/12 10:20,4198.83,4198.59,4202.21,4198.03,4.207858081,1.747455204,4.920805755,4181.400995,4203.327507,4159.474483
50,2019/8/12 10:25,4198.91,4204.85,4204.85,4198.3,5.082775614,2.414526902,5.336497423,4182.850495,4206.959017,4158.741973
51,2019/8/12 10:30,4204.27,4208.6899,4210.09,4203.9799,6.011103767,3.133848846,5.754509842,4184.76649,4210.719039,4158.813941
52,2019/8/12 10:35,4208.54,4208.22,4212.3,4206.79,6.632674003,3.833618991,5.598110024,4186.703495,4213.61715,4159.78984
53,2019/8/12 10:40,4208.04,4208.4,4210.4799,4207.22,7.057936191,4.478486201,5.158899981,4188.502995,4216.19418,4160.81181
54,2019/8/12 10:45,4207.27,4203.7299,4208.45,4202.26,6.942920177,4.971375301,3.943089752,4190.12149,4217.374279,4162.868701
55,2019/8/12 10:50,4202.81,4201.89,4204.4799,4201.62,6.628603478,5.302822177,2.651562602,4191.61399,4217.951478,4165.276502
56,2019/8/12 10:55,4201.7299,4201.36,4203.32,4199.91,6.264915728,5.495241463,1.53934853,4193.35399,4217.202771,4169.505209
57,2019/8/12 11:00,4203.3,4200.71,4204.31,4198.9,5.857205225,5.567634389,0.579141673,4194.90999,4216.148444,4173.671536
58,2019/8/12 11:05,4200.8,4202.54,4203.45,4198.9799,5.615501141,5.577207757,0.076586767,4196.39949,4215.123926,4177.675054
59,2019/8/12 11:10,4201.51,4204.28,4204.97,4201.51,5.499597927,5.561685768,-0.124175681,4197.89049,4213.795941,4181.985039
60,2019/8/12 11:15,4203.2299,4201.59,4204.33,4200.3,5.133279041,5.476004317,-0.685450553,4198.69499,4213.554959,4183.835021
61,2019/8/12 11:20,4202.24,4202.6,4203.6899,4200.54,4.867672012,5.354337737,-0.973331449,4199.25449,4213.798839,4184.710141
62,2019/8/12 11:25,4202.97,4203.54,4205.79,4201.89,4.678499078,5.219169899,-1.081341642,4200.15549,4213.280791,4187.030189
63,2019/8/12 11:30,4203.37,4203.89,4204.9799,4202.27,4.504658449,5.076267519,-1.143218141,4201.10799,4212.153699,4190.062281
64,2019/8/12 13:05,4203.89,4199.12,4205.99,4199.12,3.938947626,4.848803426,-1.819711601,4201.68799,4210.773862,4192.602118
65,2019/8/12 13:10,4200.54,4196.17,4200.54,4196.17,3.216865553,4.522415721,-2.611100334,4201.85749,4210.350812,4193.364168
66,2019/8/12 13:15,4196.7299,4195.6,4197.93,4194.08,2.569255594,4.13178357,-3.125055951,4201.84299,4210.380085,4193.305895
67,2019/8/12 13:20,4195.96,4196.99,4197.2299,4193.82,2.142933871,3.734013528,-3.182159314,4202.06899,4209.75858,4194.3794
68,2019/8/12 13:25,4197.6,4196.81,4198.6899,4194.92,1.77020992,3.341252725,-3.142085611,4201.97849,4209.878712,4194.078268
69,2019/8/12 13:30,4196.34,4196.95,4199.18,4195.41,1.469139966,2.966830112,-2.995380291,4201.89649,4209.976791,4193.816189
70,2019/8/12 13:35,4196.49,4199.59,4200.43,4195.92,1.426287833,2.658721616,-2.464867565,4201.63349,4209.651192,4193.615788
71,2019/8/12 13:40,4199.5,4201.27,4201.55,4197.43,1.509980991,2.428973466,-1.837984951,4201.262495,4208.559694,4193.965296
