,time,open,close,high,low,dif,dea,macd,bmid,bup,blow
0,2019-05-28 13:21:00,4251.15,4249.93,4251.36,4248.1,0.0,0.0,0.0,,,
1,2019-05-28 13:22:00,4250.4,4253.4399,4253.4399,4249.87,0.07874775640993903,0.043748753561077235,0.06999800569772359,,,
2,2019-05-28 13:23:00,4254.9399,4254.81,4256.01,4253.9799,0.14282699107752705,0.08435458860880256,0.11694480493744899,,,
3,2019-05-28 13:24:00,4256.06,4254.47,4258.67,4254.47,0.15619558575690462,0.10869096975653361,0.09500923200074202,,,
4,2019-05-28 13:25:00,4255.28,4254.9799,4257.06,4252.78,0.18046166439035005,0.13004112879800683,0.10084107118468644,,,
5,2019-05-28 13:26:00,4256.59,4255.13,4257.08,4254.49,0.19807515306092682,0.14848213199183327,0.0991860421381871,,,
6,2019-05-28 13:27:00,4256.29,4255.36,4257.61,4254.84,0.2163784669519373,0.16566488306084132,0.10142716778219196,,,
7,2019-05-28 13:28:00,4256.0,4253.22,4256.0,4253.22,0.1233943322677078,0.15550647480736748,-0.06422428507931938,,,
8,2019-05-28 13:29:00,4254.67,4256.1,4256.59,4253.4799,0.20001435334415874,0.16578801555409028,0.0684526755801369,,,
9,2019-05-28 13:30:00,4256.1899,4253.66,4257.25,4253.27,0.12577375931959978,0.15682249933317777,-0.06209748002715598,,,
10,2019-05-28 13:31:00,4254.37,4252.28,4254.67,4252.28,-0.0031578343814544496,0.12181971643381644,-0.24995510163054177,,,
11,2019-05-28 13:32:00,4253.84,4250.99,4253.84,4250.9799,-0.168501996348823,0.059470788150616676,-0.4559455689988794,,,
12,2019-05-28 13:33:00,4250.32,4252.11,4252.8,4250.32,-0.2256237068786504,-0.0008651120472299593,-0.4495171896628409,,,
13,2019-05-28 13:34:00,4252.78,4250.21,4252.78,4250.21,-0.3755664121445079,-0.07925290359812097,-0.5926270170927739,,,
14,2019-05-28 13:35:00,4252.4399,4251.39,4252.4399,4250.0,-0.4138307617549799,-0.14860871593735972,-0.5304440916352404,,,
15,2019-05-28 13:36:00,4251.7299,4251.81,4252.33,4250.6,-0.4121912503051135,-0.2028520365515698,-0.4186784275070874,,,
16,2019-05-28 13:37:00,4251.54,4252.4399,4253.11,4250.7,-0.3668445553557831,-0.23640611089598376,-0.26087688891959865,,,
17,2019-05-28 13:38:00,4253.45,4253.39,4254.22,4252.31,-0.26770918010333844,-0.24278157488646201,-0.04985521043375285,,,
18,2019-05-28 13:39:00,4253.75,4250.18,4253.75,4249.0,-0.39418418330114946,-0.27350486585502387,-0.24135863489225118,,,
19,2019-05-28 13:40:00,4250.7,4247.89,4250.7,4247.02,-0.6361798876869216,-0.34688589589706,-0.5785879835797232,4252.689484999999,4257.016164454281,4248.362805545717
20,2019-05-28 13:41:00,4248.32,4248.76,4250.04,4247.71,-0.7579688985451867,-0.42986787004661936,-0.6562020569971346,4252.630984999999,4257.142453115008,4248.11951688499
21,2019-05-28 13:42:00,4248.4799,4249.16,4249.41,4247.87,-0.8163972584970907,-0.5077484046527951,-0.617297707688591,4252.41699,4257.16663603264,4247.66734396736
22,2019-05-28 13:43:00,4248.84,4248.09,4250.29,4247.02,-0.9247263251090772,-0.5916391925502874,-0.6661742651175795,4252.0809899999995,4257.062943293068,4247.099036706931
23,2019-05-28 13:44:00,4247.34,4249.03,4249.29,4247.22,-0.9333262790087247,-0.6603008553771667,-0.546050847263116,4251.8089899999995,4256.835568194024,4246.782411805975
24,2019-05-28 13:45:00,4249.55,4250.7299,4251.18,4248.55,-0.8108870539390409,-0.6905323062819264,-0.24070949531422903,4251.596489999999,4256.413618640656,4246.779361359342
25,2019-05-28 13:46:00,4251.08,4248.03,4251.08,4245.66,-0.8956489332704223,-0.7316799929316462,-0.32793788067755214,4251.2414899999985,4256.008396038798,4246.474583961199
